seed_id,k,v,t,n,seed,count_symbols,min_unique_pairs,sum_unique_pairs,collision_penalty,lag_unique_counts,position_covered,position_missing,position_pct,position_pair_counts,full_covered,full_missing,full_pct,full_pair_counts
15,12,2,3,12,0 0 0 0 1 1 0 1 0 1 1 1,6 6,,,,,1632,128,92.727273,8 8 7 8 8 6 8 7 8 8 8 6 8 7 8 7 8 6 8 7 8 8 7 7 8 8 7 8 7 7 6 7 7 8 6 8 7 7 8 8 8 7 8 7 6 8 8 8 8 7 6 7 8 8 8 8 8 7 8 8 6 8 7 8 8 6 8 7 8 7 8 6 7 8 8 7 7 8 8 8 7 7 6 7 7 6 8 7 7 8 8 7 8 7 8 8 8 7 6 8 8 8 7 8 8 6 8 7 8 6 8 7 8 7 8 7 8 8 7 7 8 8 7 7 6 7 6 8 7 7 8 7 8 8 8 7 8 8 7 8 8 6 8 8 6 8 7 8 7 7 8 8 7 7 8 7 7 6 6 8 7 8 7 8 8 8 7 8 8 6 8 6 8 7 8 7 8 8 7 8 7 7 6 8 8 8 8 7 8 8 8 6 8 7 7 8 8 8 7 6 8 8 7 8 8 6 8 7 8 8 8 8 7 8 6 7 8 8 8 8,1392,368,79.090909,7 7 6 6 7 6 6 6 6 7 6 6 7 6 7 6 6 6 7 6 6 8 6 6 8 7 6 6 6 6 3 6 6 6 6 7 6 6 7 7 7 6 8 6 6 6 7 6 6 6 6 6 7 6 7 7 7 6 6 7 6 6 6 6 6 6 7 6 7 6 6 6 6 6 8 6 6 8 7 6 6 6 3 6 6 6 7 6 6 7 7 6 8 6 6 7 6 6 6 7 7 7 6 6 7 6 6 6 6 6 7 6 7 6 6 6 6 8 6 6 8 6 6 6 3 6 6 7 6 6 7 6 8 6 7 6 7 7 6 6 7 6 6 6 6 7 6 7 6 6 6 8 6 6 6 6 6 3 6 7 6 7 6 6 7 7 6 6 7 6 6 6 7 6 7 6 6 8 6 6 6 6 6 7 7 7 7 6 6 7 6 6 7 6 6 6 8 6 6 6 7 7 6 6 6 6 7 6 6 6 7 7 6 6 6 6 7 7 6 7
16,12,2,3,12,0 0 0 0 1 1 0 1 1 0 1 1,6 6,,,,,1548,212,87.954545,6 7 7 7 7 7 7 7 7 6 7 6 8 8 6 8 8 6 7 7 8 5 8 8 5 8 7 7 8 8 6 8 8 7 7 6 8 8 6 7 7 8 5 8 7 7 8 8 7 7 6 7 7 7 6 6 7 7 7 7 7 7 7 7 7 6 8 8 6 8 8 6 7 8 5 8 8 5 8 7 8 8 6 8 8 7 6 8 8 6 7 8 5 8 7 8 8 7 6 7 6 7 7 7 7 7 7 7 7 6 8 8 6 8 8 7 8 5 8 8 5 7 8 8 6 8 7 6 8 8 7 8 5 7 8 7 6 7 7 7 7 7 7 7 6 8 8 6 8 7 8 5 8 8 7 8 8 6 7 6 8 7 8 7 6 7 7 7 7 7 7 6 8 8 6 7 8 5 8 7 8 8 7 6 7 6 7 7 7 7 7 6 8 8 7 8 5 7 8 7 6 7 7 7 7 6 8 7 8 7 6 7 7 7 6 7 6 7 7 6,1536,224,87.272727,8 7 7 7 7 7 7 7 7 8 7 6 8 5 6 5 8 6 7 7 8 8 8 8 8 8 7 7 5 8 6 8 5 7 7 6 8 8 6 7 7 5 8 5 7 7 8 8 7 7 6 7 7 7 8 8 7 7 7 7 7 7 7 7 7 6 8 5 6 5 8 6 7 8 8 8 8 8 8 7 5 8 6 8 5 7 6 8 8 6 7 5 8 5 7 8 8 7 6 7 8 7 7 7 7 7 7 7 7 6 8 5 6 5 8 7 8 8 8 8 8 7 5 8 6 8 7 6 8 8 7 5 8 7 8 7 8 7 7 7 7 7 7 7 6 8 5 6 5 7 8 8 8 8 7 5 8 6 7 6 8 7 5 7 8 7 7 7 7 7 7 6 8 5 6 7 8 8 8 7 5 8 7 6 7 8 7 7 7 7 7 6 8 5 7 8 8 7 5 7 8 7 7 7 7 6 8 7 8 7 8 7 7 7 6 7 8 7 7 8
17,12,2,3,12,0 0 0 0 1 1 0 1 1 1 0 1,6 6,,,,,1684,76,95.681818,8 8 8 8 7 7 8 8 8 8 8 8 6 8 7 8 8 8 8 8 8 8 8 8 8 6 8 8 8 8 4 8 8 8 7 7 8 8 7 7 7 8 8 8 7 8 6 8 8 8 8 8 8 8 8 8 8 8 8 7 7 8 8 8 8 8 6 8 7 8 8 8 8 8 8 8 8 8 6 8 8 8 4 8 8 7 7 8 8 7 7 8 8 8 8 6 8 8 8 8 8 8 8 8 7 7 8 8 8 8 6 8 7 8 8 8 8 8 8 8 8 8 8 8 4 8 7 7 8 8 7 8 8 8 6 8 8 8 8 8 7 7 8 8 8 6 8 7 8 8 8 8 8 8 8 8 8 4 7 7 8 7 8 8 8 8 8 8 7 7 8 8 6 8 7 8 8 8 8 8 8 8 7 7 7 8 8 8 8 7 8 8 6 8 8 8 8 8 8 7 8 8 8 8 8 8 6 8 8 8 8 8 8 8 8 8 8 8 8 8,1432,328,81.363636,7 7 7 6 6 6 7 7 5 7 5 7 7 6 7 6 7 7 7 7 7 6 6 7 6 7 7 7 6 7 7 6 6 6 6 7 6 7 7 6 6 6 6 6 6 6 7 7 7 7 7 7 7 5 7 7 7 7 6 6 6 7 7 5 5 7 7 6 7 6 7 7 7 7 6 6 7 6 7 7 6 7 7 6 6 6 7 6 7 7 6 6 6 6 6 7 7 7 7 7 7 7 7 6 6 6 7 7 5 7 7 6 7 6 7 7 7 6 6 7 6 7 6 7 7 6 6 7 6 7 6 6 6 6 7 7 7 7 7 6 6 6 7 5 7 7 6 7 6 7 7 6 6 7 7 6 7 7 6 7 6 6 6 6 7 7 7 6 6 6 5 7 7 6 7 7 7 6 6 7 6 7 6 7 6 7 7 7 6 6 5 7 7 6 7 7 6 7 6 6 7 7 7 6 5 7 7 7 7 7 7 7 7 5 7 7 7 7 5 7
18,12,2,3,12,0 0 0 0 1 1 0 1 1 1 1 0,6 6,,,,,1596,164,90.681818,7 8 7 8 8 8 5 7 8 7 8 8 8 7 7 7 6 8 8 7 6 8 7 7 8 8 7 5 7 7 6 7 7 8 8 7 7 7 7 8 8 7 8 7 8 8 8 6 5 7 8 7 8 8 7 7 8 7 8 8 8 5 7 8 8 8 8 7 7 7 6 8 7 6 8 7 7 8 8 5 7 7 6 7 7 8 7 7 7 7 8 7 8 7 8 8 6 7 8 8 7 8 7 8 8 8 5 7 8 8 8 7 7 7 6 7 6 8 7 7 8 5 7 7 6 7 8 7 7 7 8 7 8 8 8 7 7 8 7 8 8 8 5 8 8 8 7 7 7 7 6 8 7 7 5 7 7 6 8 7 7 8 7 8 7 8 7 8 8 8 8 8 8 7 7 7 6 8 7 5 7 7 8 7 8 7 8 7 8 8 8 8 8 7 7 6 8 5 7 8 7 8 7 8 8 8 8 7 6 5 7 8 7 8 8 7 7 8 8 7,1596,164,90.681818,7 8 7 5 8 8 8 7 6 7 6 8 8 7 7 7 8 8 8 7 8 8 7 7 8 8 7 8 7 7 6 7 7 5 8 7 7 7 7 8 8 7 8 7 8 5 8 8 8 7 8 7 8 6 7 7 8 7 5 8 8 8 7 6 6 8 8 7 7 7 8 8 7 8 8 7 7 8 8 8 7 7 6 7 7 8 7 7 7 7 8 7 8 7 5 8 8 7 8 8 7 8 7 5 8 8 8 7 6 8 8 7 7 7 8 7 8 8 7 7 8 8 7 7 6 7 8 7 7 7 8 7 8 5 8 7 7 8 7 5 8 8 8 6 8 8 7 7 7 7 8 8 7 7 8 7 7 6 8 7 7 8 7 5 7 8 7 5 8 8 6 8 8 7 7 7 8 8 7 8 7 7 8 7 8 7 8 7 5 8 6 8 8 7 7 8 8 8 7 8 7 8 7 5 6 8 8 7 8 8 7 8 7 6 8 7 7 8 6 7
19,12,2,3,12,0 0 0 0 1 1 1 0 0 1 1 1,6 6,,,,,1416,344,80.454545,6 6 6 6 8 8 6 6 6 6 6 6 6 8 6 8 6 6 6 6 6 6 6 6 6 6 6 6 8 6 6 6 8 6 8 6 6 6 6 8 8 8 6 8 8 6 6 6 6 6 6 6 6 6 6 6 6 6 6 8 8 6 6 6 6 6 6 8 6 8 6 6 6 6 6 6 6 6 6 6 8 6 6 6 8 8 6 6 6 6 8 8 6 8 6 6 6 6 6 6 6 6 6 6 8 8 6 6 6 6 6 8 6 8 6 6 6 6 6 6 6 6 8 6 6 6 8 6 6 6 8 8 6 6 6 6 6 6 6 6 8 8 6 6 6 6 8 6 8 6 6 6 6 6 6 8 6 6 8 6 6 8 8 6 6 6 6 6 8 8 6 6 6 8 6 6 6 6 6 6 8 6 8 6 8 6 6 6 6 8 6 6 6 8 6 6 6 6 8 8 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6,1272,488,72.272727,6 6 6 6 5 5 6 6 6 6 6 6 6 5 6 5 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 5 6 5 6 6 6 6 5 5 5 6 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 6 6 6 6 6 6 5 6 5 6 6 6 6 6 6 6 6 6 6 5 6 6 6 5 5 6 6 6 6 5 5 6 5 6 6 6 6 6 6 6 6 6 6 5 5 6 6 6 6 6 5 6 5 6 6 6 6 6 6 6 6 5 6 6 6 5 6 6 6 5 5 6 6 6 6 6 6 6 6 5 5 6 6 6 6 5 6 5 6 6 6 6 6 6 5 6 6 5 6 6 5 5 6 6 6 6 6 5 5 6 6 6 5 6 6 6 6 6 6 5 6 5 6 5 6 6 6 6 5 6 6 6 5 6 6 6 6 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
20,12,2,3,12,0 0 0 0 1 1 1 0 1 0 1 1,6 6,,,,,1632,128,92.727273,8 8 7 8 6 8 8 7 8 8 8 6 8 7 8 7 8 6 8 7 8 8 7 7 8 8 7 8 7 7 6 7 7 8 8 8 7 7 8 6 6 7 8 7 8 8 8 8 8 7 6 7 8 8 8 8 8 7 8 6 8 8 7 8 8 6 8 7 8 7 8 6 7 8 8 7 7 8 8 8 7 7 6 7 7 8 8 7 7 8 6 7 8 7 8 8 8 7 6 8 8 8 7 8 6 8 8 7 8 6 8 7 8 7 8 7 8 8 7 7 8 8 7 7 6 7 8 8 7 7 6 7 8 8 8 7 8 8 7 8 6 8 8 8 6 8 7 8 7 7 8 8 7 7 8 7 7 6 8 8 7 6 7 8 8 8 7 8 6 8 8 6 8 7 8 7 8 8 7 8 7 7 8 8 6 8 8 7 8 6 8 6 8 7 7 8 8 8 7 8 8 8 7 8 8 6 8 7 8 8 8 8 7 8 6 7 8 8 8 8,1392,368,79.090909,7 6 6 6 6 7 6 6 7 7 7 6 6 6 7 6 7 6 6 6 7 8 6 6 8 6 6 6 6 6 3 6 6 6 7 7 6 6 7 6 6 6 8 6 7 6 6 7 6 6 6 6 6 7 7 7 6 6 6 6 7 6 6 7 7 6 6 6 7 6 7 6 6 7 8 6 6 8 6 6 6 6 3 6 6 7 7 6 6 7 6 6 8 6 6 6 7 6 6 6 7 6 6 6 6 7 6 6 7 6 6 6 7 6 7 6 7 8 6 6 8 6 6 6 3 6 7 7 6 6 6 6 8 6 6 6 7 6 6 6 6 7 6 7 6 6 6 7 6 6 7 8 6 6 6 6 6 3 7 7 6 6 6 6 7 6 6 6 6 7 7 6 6 6 7 6 7 8 6 6 6 6 7 7 6 7 6 6 6 6 7 6 6 6 6 7 8 6 6 7 7 6 6 6 7 6 6 6 7 6 7 6 6 7 6 6 7 6 7 7
21,12,2,3,12,0 0 0 0 1 1 1 0 1 1 0 1,6 6,,,,,1680,80,95.454545,8 8 6 8 8 8 8 8 8 8 8 8 8 7 8 7 8 8 8 8 8 8 6 8 8 8 6 8 7 8 6 6 7 8 8 8 6 8 8 8 8 7 8 7 8 8 8 8 8 6 8 8 8 8 8 8 8 6 8 8 8 8 8 8 8 8 8 7 8 7 8 8 8 8 8 6 8 8 8 8 7 8 6 6 7 8 8 6 8 8 8 7 8 7 8 8 8 6 8 8 8 8 6 8 8 8 8 8 8 8 8 7 8 7 8 8 8 8 6 8 8 8 7 8 6 6 8 8 6 8 8 7 8 8 8 6 8 8 6 8 8 8 8 8 8 8 7 8 7 8 8 8 6 8 8 7 8 6 8 8 6 8 7 8 8 8 6 8 8 8 8 8 8 7 8 8 8 8 6 8 7 8 8 8 8 8 8 6 8 8 8 8 8 7 8 8 8 8 7 8 8 8 6 8 8 8 8 8 8 8 8 8 6 8 8 8 8 8 8 8,1680,80,95.454545,8 8 8 8 8 8 8 6 8 8 8 8 8 7 8 7 8 8 8 6 8 8 8 6 8 8 8 8 7 6 6 8 7 8 8 8 8 6 8 8 8 7 8 7 8 8 8 8 8 8 8 6 8 8 8 8 8 8 8 8 8 8 6 8 8 8 8 7 8 7 8 8 6 8 8 8 6 8 8 8 7 6 6 8 7 8 8 8 6 8 8 7 8 7 8 8 8 8 8 8 8 8 8 8 8 8 8 6 8 8 8 7 8 7 8 6 8 8 8 6 8 8 7 6 6 8 8 8 8 6 8 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 7 8 7 6 8 8 8 6 8 7 6 6 8 8 8 8 7 8 8 8 8 8 8 8 8 8 8 7 8 6 8 8 8 8 7 6 8 8 8 8 8 8 8 8 8 8 8 7 6 8 8 8 7 8 8 8 8 8 8 8 8 6 8 8 8 8 8 8 8 6 8 8 8 8
22,12,2,3,12,0 0 0 0 1 1 1 0 1 1 1 0,6 6,,,,,1576,184,89.545455,7 7 7 7 8 8 7 7 7 7 7 8 7 8 7 8 7 8 7 7 7 6 7 7 6 7 7 7 8 7 4 7 8 7 8 7 7 7 7 8 8 8 6 8 8 7 7 7 7 7 8 7 7 7 7 7 7 7 7 8 8 7 7 7 7 8 7 8 7 8 7 8 7 7 6 7 7 6 7 7 8 7 4 7 8 8 7 7 7 7 8 8 6 8 7 7 7 7 8 7 7 7 7 7 8 8 7 7 7 8 7 8 7 8 7 7 7 6 7 7 6 7 8 7 4 7 8 7 7 7 8 8 6 7 7 7 7 7 7 7 8 8 7 7 8 7 8 7 8 7 7 6 7 7 7 8 7 4 8 7 7 8 8 7 7 7 7 7 8 8 7 8 7 8 7 7 7 6 7 7 8 7 8 7 8 7 7 7 7 8 7 8 7 8 7 7 6 7 8 8 7 7 7 7 7 8 7 7 7 7 7 7 7 7 8 7 7 7 7 7,1336,424,75.909091,5 6 6 6 5 5 6 6 6 5 6 7 7 6 6 6 7 7 6 6 7 5 7 7 5 7 6 6 6 7 7 7 6 6 5 6 7 7 6 5 5 6 5 6 5 6 7 7 6 6 7 6 6 6 5 5 6 6 6 5 5 6 6 6 6 7 7 6 6 6 7 7 6 7 5 7 7 5 7 6 6 7 7 7 6 5 6 7 7 6 5 6 5 6 6 7 7 6 7 6 5 6 6 6 5 5 6 6 6 7 7 6 6 6 7 6 7 5 7 7 5 6 6 7 7 7 5 6 7 7 5 6 5 6 7 6 5 6 6 6 5 5 6 6 7 7 6 6 6 6 7 5 7 7 6 6 7 7 5 6 7 5 6 6 5 6 6 6 5 5 6 7 7 6 6 6 7 5 7 6 6 7 5 6 5 5 6 6 6 5 6 7 7 6 6 7 5 6 6 5 5 6 6 6 6 7 7 6 7 6 5 6 6 6 7 6 5 6 6 5
23,12,2,3,12,0 0 0 0 1 1 1 1 0 0 1 1,6 6,,,,,1536,224,87.272727,6 8 8 7 7 7 7 8 8 6 8 6 7 5 8 5 7 6 8 8 7 8 7 7 8 7 8 7 5 7 6 7 5 7 7 8 7 7 8 7 7 5 8 5 7 7 7 7 7 8 6 8 8 8 6 6 8 8 7 7 7 7 8 8 8 6 7 5 8 5 7 6 8 7 8 7 7 8 7 7 5 7 6 7 5 7 8 7 7 8 7 5 8 5 7 7 7 8 6 8 6 8 8 7 7 7 7 8 8 6 7 5 8 5 7 8 7 8 7 7 8 7 5 7 6 7 7 8 7 7 7 5 8 7 7 8 6 8 8 7 7 7 7 8 6 7 5 8 5 8 7 8 7 7 7 5 7 6 7 8 7 7 5 7 6 8 8 7 7 7 8 6 7 5 8 8 7 8 7 7 5 7 7 8 7 6 8 8 7 7 8 6 7 5 8 7 8 7 5 7 6 8 8 7 8 6 7 8 7 7 6 8 8 8 6 8 6 8 8 6,1548,212,87.954545,6 8 8 7 7 7 7 8 8 6 8 6 7 8 6 8 7 6 8 8 7 5 7 7 5 7 8 7 8 7 6 7 8 7 7 6 7 7 6 7 7 8 5 8 7 7 7 7 7 8 6 8 8 8 6 6 8 8 7 7 7 7 8 8 8 6 7 8 6 8 7 6 8 7 5 7 7 5 7 7 8 7 6 7 8 7 6 7 7 6 7 8 5 8 7 7 7 8 6 8 6 8 8 7 7 7 7 8 8 6 7 8 6 8 7 8 7 5 7 7 5 7 8 7 6 7 7 6 7 7 7 8 5 7 7 8 6 8 8 7 7 7 7 8 6 7 8 6 8 8 7 5 7 7 7 8 7 6 7 6 7 7 8 7 6 8 8 7 7 7 8 6 7 8 6 8 7 5 7 7 8 7 7 6 7 6 8 8 7 7 8 6 7 8 8 7 5 7 8 7 6 8 8 7 8 6 7 8 7 7 6 8 8 8 6 8 6 8 8 6
24,12,2,3,12,0 0 0 0 1 1 1 1 0 1 0 1,6 6,,,,,1560,200,88.636364,8 7 7 6 8 8 6 7 7 8 7 6 7 8 8 8 7 6 7 7 7 6 7 7 6 7 7 6 8 7 6 7 8 6 8 8 7 7 8 8 8 8 6 8 8 6 7 7 6 7 6 7 7 7 8 8 7 7 6 8 8 6 7 7 7 6 7 8 8 8 7 6 7 7 6 7 7 6 7 6 8 7 6 7 8 8 8 7 7 8 8 8 6 8 6 7 7 7 6 7 8 7 7 6 8 8 6 7 7 6 7 8 8 8 7 7 7 6 7 7 6 6 8 7 6 7 8 8 7 7 8 8 6 6 7 7 8 7 7 6 8 8 6 7 6 7 8 8 8 7 7 6 7 7 6 8 7 6 8 8 7 8 8 6 8 7 7 6 8 8 7 6 7 8 8 7 7 6 7 6 8 7 8 8 8 8 7 7 6 8 7 6 7 8 7 7 6 6 8 8 8 7 7 6 7 6 7 7 7 6 8 7 7 7 6 7 8 7 7 8,1332,428,75.681818,7 7 6 6 6 6 6 6 7 7 7 5 7 5 7 5 7 5 7 6 7 5 6 6 5 7 6 6 5 6 3 6 5 6 6 7 6 6 7 6 6 5 5 5 6 6 7 7 6 6 5 6 7 7 7 7 7 6 6 6 6 6 6 7 7 5 7 5 7 5 7 5 6 7 5 6 6 5 7 6 5 6 3 6 5 6 7 6 6 7 6 5 5 5 6 7 7 6 5 7 7 7 6 6 6 6 6 6 7 5 7 5 7 5 7 6 7 5 6 6 5 6 5 6 3 6 6 7 6 6 6 5 5 6 7 6 7 7 6 6 6 6 6 7 5 7 5 7 5 6 7 5 6 6 6 5 6 3 6 7 6 6 5 6 7 7 6 6 6 6 7 5 7 5 7 6 7 5 6 6 5 6 6 7 6 7 7 6 6 6 7 5 7 5 6 7 5 6 5 6 7 7 6 6 7 5 7 6 7 6 7 7 6 7 5 6 7 7 7 7
25,12,2,3,12,0 0 0 0 1 1 1 1 0 1 1 0,6 6,,,,,1596,164,90.681818,7 8 7 5 8 8 8 7 8 7 8 8 6 7 7 7 8 8 8 7 8 8 7 7 8 6 7 8 7 7 6 7 7 5 8 7 7 7 7 8 8 7 8 7 8 5 6 8 8 7 8 7 8 8 7 7 8 7 5 8 8 8 7 8 8 8 6 7 7 7 8 8 7 8 8 7 7 8 6 8 7 7 6 7 7 8 7 7 7 7 8 7 8 7 5 6 8 7 8 8 7 8 7 5 8 8 8 7 8 8 6 7 7 7 8 7 8 8 7 7 8 8 7 7 6 7 8 7 7 7 8 7 8 5 6 7 7 8 7 5 8 8 8 8 8 6 7 7 7 7 8 8 7 7 8 7 7 6 8 7 7 8 7 5 7 8 7 5 8 8 8 8 6 7 7 7 8 8 7 8 7 7 8 7 8 7 8 7 5 8 8 8 6 7 7 8 8 8 7 8 7 8 7 5 8 8 6 7 8 8 7 8 7 8 8 7 7 8 8 7,1596,164,90.681818,7 6 7 8 8 8 5 7 8 7 8 8 8 7 7 7 8 8 6 7 8 8 7 7 8 8 7 5 7 7 6 7 7 8 8 7 7 7 7 8 8 7 8 7 8 8 8 8 5 7 8 7 6 8 7 7 6 7 8 8 8 5 7 8 8 8 8 7 7 7 8 8 7 8 8 7 7 8 8 5 7 7 6 7 7 8 7 7 7 7 8 7 8 7 8 8 8 7 8 6 7 6 7 8 8 8 5 7 8 8 8 7 7 7 8 7 8 8 7 7 8 5 7 7 6 7 8 7 7 7 8 7 8 8 8 7 7 6 7 8 8 8 5 8 8 8 7 7 7 7 8 8 7 7 5 7 7 6 8 7 7 8 7 8 7 6 7 8 8 8 8 8 8 7 7 7 8 8 7 5 7 7 8 7 8 7 6 7 8 8 8 8 8 7 7 8 8 5 7 8 7 6 7 8 8 8 8 7 8 5 7 6 7 8 8 7 7 6 8 7
26,12,2,3,12,0 0 0 0 1 1 1 1 1 0 0 1,6 6,,,,,1596,164,90.681818,7 8 7 8 8 8 5 7 8 7 8 8 8 7 7 7 6 8 8 7 6 8 7 7 8 8 7 5 7 7 6 7 7 8 8 7 7 7 7 8 8 7 8 7 8 8 8 6 5 7 8 7 8 8 7 7 8 7 8 8 8 5 7 8 8 8 8 7 7 7 6 8 7 6 8 7 7 8 8 5 7 7 6 7 7 8 7 7 7 7 8 7 8 7 8 8 6 7 8 8 7 8 7 8 8 8 5 7 8 8 8 7 7 7 6 7 6 8 7 7 8 5 7 7 6 7 8 7 7 7 8 7 8 8 8 7 7 8 7 8 8 8 5 8 8 8 7 7 7 7 6 8 7 7 5 7 7 6 8 7 7 8 7 8 7 8 7 8 8 8 8 8 8 7 7 7 6 8 7 5 7 7 8 7 8 7 8 7 8 8 8 8 8 7 7 6 8 5 7 8 7 8 7 8 8 8 8 7 6 5 7 8 7 8 8 7 7 8 8 7,1596,164,90.681818,7 8 7 5 8 8 8 7 6 7 6 8 8 7 7 7 8 8 8 7 8 8 7 7 8 8 7 8 7 7 6 7 7 5 8 7 7 7 7 8 8 7 8 7 8 5 8 8 8 7 8 7 8 6 7 7 8 7 5 8 8 8 7 6 6 8 8 7 7 7 8 8 7 8 8 7 7 8 8 8 7 7 6 7 7 8 7 7 7 7 8 7 8 7 5 8 8 7 8 8 7 8 7 5 8 8 8 7 6 8 8 7 7 7 8 7 8 8 7 7 8 8 7 7 6 7 8 7 7 7 8 7 8 5 8 7 7 8 7 5 8 8 8 6 8 8 7 7 7 7 8 8 7 7 8 7 7 6 8 7 7 8 7 5 7 8 7 5 8 8 6 8 8 7 7 7 8 8 7 8 7 7 8 7 8 7 8 7 5 8 6 8 8 7 7 8 8 8 7 8 7 8 7 5 6 8 8 7 8 8 7 8 7 6 8 7 7 8 6 7
27,12,2,3,12,0 0 0 0 1 1 1 1 1 0 1 0,6 6,,,,,1464,296,83.181818,8 7 7 6 6 6 6 7 7 8 7 6 6 8 6 8 6 6 7 7 6 8 6 6 8 6 7 6 8 6 6 6 8 6 6 6 6 6 6 6 6 8 8 8 6 6 6 6 6 7 6 7 7 7 8 8 7 7 6 6 6 6 7 7 7 6 6 8 6 8 6 6 7 6 8 6 6 8 6 6 8 6 6 6 8 6 6 6 6 6 6 8 8 8 6 6 6 7 6 7 8 7 7 6 6 6 6 7 7 6 6 8 6 8 6 7 6 8 6 6 8 6 8 6 6 6 6 6 6 6 6 8 8 6 6 7 8 7 7 6 6 6 6 7 6 6 8 6 8 7 6 8 6 6 6 8 6 6 6 6 6 6 8 6 8 7 7 6 6 6 7 6 6 8 6 7 6 8 6 6 8 6 6 6 6 8 7 7 6 6 7 6 6 8 7 6 8 6 8 6 8 7 7 6 7 6 6 7 6 6 8 7 7 7 6 7 8 7 7 8,1164,596,66.136364,5 6 5 5 5 5 5 5 6 5 6 5 6 5 6 5 6 5 6 5 6 6 5 5 6 6 5 5 5 5 3 5 5 5 5 6 5 5 6 5 5 5 6 5 5 5 6 6 5 5 5 5 6 6 5 5 6 5 5 5 5 5 5 6 6 5 6 5 6 5 6 5 5 6 6 5 5 6 6 5 5 5 3 5 5 5 6 5 5 6 5 5 6 5 5 6 6 5 5 6 5 6 5 5 5 5 5 5 6 5 6 5 6 5 6 5 6 6 5 5 6 5 5 5 3 5 5 6 5 5 5 5 6 5 6 5 5 6 5 5 5 5 5 6 5 6 5 6 5 5 6 6 5 5 5 5 5 3 5 6 5 5 5 5 5 6 5 5 5 5 6 5 6 5 6 5 6 6 5 5 5 5 5 6 5 5 6 5 5 5 6 5 6 5 5 6 6 5 5 5 5 6 5 5 6 5 6 5 6 5 5 6 5 6 5 5 5 6 6 5
28,12,2,3,12,0 0 0 0 1 1 1 1 1 1 0 0,6 6,,,,,1200,560,68.181818,6 6 6 6 4 4 6 6 6 6 6 6 6 4 6 4 6 6 6 6 6 4 6 6 4 6 6 6 4 6 6 6 4 6 4 6 6 6 6 4 4 4 4 4 4 6 6 6 6 6 6 6 6 6 6 6 6 6 6 4 4 6 6 6 6 6 6 4 6 4 6 6 6 6 4 6 6 4 6 6 4 6 6 6 4 4 6 6 6 6 4 4 4 4 6 6 6 6 6 6 6 6 6 6 4 4 6 6 6 6 6 4 6 4 6 6 6 4 6 6 4 6 4 6 6 6 4 6 6 6 4 4 4 6 6 6 6 6 6 6 4 4 6 6 6 6 4 6 4 6 6 4 6 6 6 4 6 6 4 6 6 4 4 6 6 6 6 6 4 4 6 6 6 4 6 6 6 4 6 6 4 6 4 6 4 6 6 6 6 4 6 6 6 4 6 6 4 6 4 4 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6,1200,560,68.181818,6 6 6 6 4 4 6 6 6 6 6 6 6 4 6 4 6 6 6 6 6 4 6 6 4 6 6 6 4 6 6 6 4 6 4 6 6 6 6 4 4 4 4 4 4 6 6 6 6 6 6 6 6 6 6 6 6 6 6 4 4 6 6 6 6 6 6 4 6 4 6 6 6 6 4 6 6 4 6 6 4 6 6 6 4 4 6 6 6 6 4 4 4 4 6 6 6 6 6 6 6 6 6 6 4 4 6 6 6 6 6 4 6 4 6 6 6 4 6 6 4 6 4 6 6 6 4 6 6 6 4 4 4 6 6 6 6 6 6 6 4 4 6 6 6 6 4 6 4 6 6 4 6 6 6 4 6 6 4 6 6 4 4 6 6 6 6 6 4 4 6 6 6 4 6 6 6 4 6 6 4 6 4 6 4 6 6 6 6 4 6 6 6 4 6 6 4 6 4 4 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
